Number	text_title	text_author	text_year	Left_Context	Keyword	Right_Context	tagA
   271220	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ligung der	Waͤysen-Deputation	, es sey unter	Waisen-Deputation
   271247	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	efinden der	Waͤysen-Deputation	billich gestraffe	Waisen-Deputation
   271254	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	gebuͤhrender	Satisfaction	der Vormundschaffts	Satisfaktion
   271279	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ͤrderst die	Waͤysen-Deputation	umb Rath zu fr	Waisen-Deputation
   271363	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ͤrderst der	Waͤysen-Deputation	solches zu hint	Waisen-Deputation
   271381	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	rgleichen ohne der	Waͤysen-Deputation	Einwilligung	Waisen-Deputation
   271443	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	tschaffener	Administration	ihrer Guͤter 	Administration
   271526	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	hlecht und	Condition	gemaͤß  arb	Kondition
   271541	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	 oder jener	Profession	genau zu erfors	Profession
   271550	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	Beliebung der	Waͤysen-Deputation	ihnen zum Studir	Waisen-Deputation
   271605	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ß solche nach	Proportion	ihres Vermoͤgens	Proportion
   271695	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	  bey der	Deputation	sich belehren	Deputation
   271838	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ist nach	Publication	derselben bey	Publikation
   271842	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	en bey der	Waͤysen-Deputation	einzureichen	Waisen-Deputation
   271891	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ater sich der	Obsignation	und Inventur	Obsignation
   271969	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	zu seyn  die	Deputation	befindet  no	Deputation
   272009	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	uͤbergebene	Specification	ad acta registrire	Spezifikation
   272064	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	dieses von der	Waͤysen-Deputation	innerhalb 8.	Waisen-Deputation
   272085	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	verwaltender	Præsumption	, er zu deren	Präsumtion
   272176	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	aͤysen-Amts	Deputation	ebenfalls gebu	Deputation
   272179	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	s gebuͤhrende	Caution	zuleisten hat	Kaution
   272189	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	 aber die	Waͤysen-Deputation	vor die Unmuͤndig	Waisen-Deputation
   272237	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	ein senn das die	Waͤysen-Deputation	ein anders vor	Waisen-Deputation
   272614	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	nselben ist	Relation	von der Waͤysen-A	Relation
   272630	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	mund eine kurtze	Relation	von derer Pupillen	Relation
   272772	Der Churfl. Sächß. Sechs-Stadt Budißin Vormundschaffts- und Wäysen-Ordnung	Unknown	1709	be bey der	Waͤysen-Deputation	zu dero fernerer	Waisen-Deputation
   273280	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	er bekandter	Declaration	erhellet  ni	Deklaration
   273716	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	e aͤuserste	Desolation	und voͤllige	Desolation
   273814	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	n tragen 	Obligation	, Pflicht und	Obligation
   274147	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	Zweck  ohne	Reflexion	, was andere	Reflexion
   274678	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	gen Kaͤyserl.	Wahl-Capitulation	darzu befugt	Wahl-Capitulation
   274850	Das Teutsche Reichs-ARCHIV, [...]	D. U. G. v. Kaunitz	1710	Operations-Cassa eine	Million	Thaler einzuwillig	Million
   275238	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	.S. ) CLXXVI .	Instruction	und Ordnung	Instruktion
   275352	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	lenen Amt dieser	Instruction	und vormals	Instruktion
   275795	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	in ordentliche	Relation	an das Hoch-Fuͤrst	Relation
   275889	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	iner habenden	Instruction	gemaͤß , die	Instruktion
   275984	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	h bald mit der	Revision	an Handen zu	Revision
   276144	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	erhohlen und	Satisfaction	zu nehmen wiss	Satisfaktion
   276166	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	sarii sich à	Proportion	eintheilen .	Proportion
   276217	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	der Stuͤcke ,	Munition	, Requisiten	Munition
   276282	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	erstatten habenden	Relationen	mit zu annectiren	Relation
   276552	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	, und laut der	Information	vom 2. April	Information
   276742	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	der gedruckten	Information	vom 2. April	Information
   276828	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	Staͤrcke und	Leibs-Constitution	seye , daß	Leibs-Constitution
   276968	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	 Straffe der	Cassation	; deßgleichen	Kassation
   276993	ATTRforeign xml:lang=latATTR_CLOSECorpus Juris Militaris Des H. Röm. Reichs [...]	Unknown	1723	Special-Ordre , und	Concession	des Loͤbl. C	Konzession
   278336	Verneuerte Gesetz und Ordnung Eines HochEdlen und Hochweisen Raths/ des Heiligen Reichs Stadt Nürnberg vor Die offene Specerey-Ha868;ndler/ und was zu dero Handel gehörig. [...]	Unknown	1704	ziehung der	Confiscation	, unter den Th	Konfiskation
   278448	Verneuerte Gesetz und Ordnung Eines HochEdlen und Hochweisen Raths/ des Heiligen Reichs Stadt Nürnberg vor Die offene Specerey-Ha868;ndler/ und was zu dero Handel gehörig. [...]	Unknown	1704	ber mit solcher	Concession	sich so gar	Konzession
   279006	Verneuerte Gesetz und Ordnung Eines HochEdlen und Hochweisen Raths/ des Heiligen Reichs Stadt Nürnberg vor Die offene Specerey-Ha868;ndler/ und was zu dero Handel gehörig. [...]	Unknown	1704	 oder andere	mutation	damit vorgenommen	Mutation
   279238	Verneuerte Gesetz und Ordnung Eines HochEdlen und Hochweisen Raths/ des Heiligen Reichs Stadt Nürnberg vor Die offene Specerey-Ha868;ndler/ und was zu dero Handel gehörig. [...]	Unknown	1704	nst-Verschreibung und	Obligation	angehe  denen	Obligation
   279720	Verneuerte Gesetz und Ordnung Eines HochEdlen und Hochweisen Raths/ des Heiligen Reichs Stadt Nürnberg vor Die offene Specerey-Ha868;ndler/ und was zu dero Handel gehörig. [...]	Unknown	1704	re wuͤrcklicher	Confiscation	, und noch da	Konfiskation
   280376	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	aber zu ihrer	Defension	bey Exceptiones	Defension
   281520	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	derkauf  mit der	Condition	 daß alle h	Kondition
   281605	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	tstehung der	Conditionen	an Seiten des	Kondition
   281808	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	albe Jahr die	Portion	von den Jubelen	Portion
   282348	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	ten aber die	Reluition	bedungen seyn	Reluition
   282563	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSEDUCENTURIA PRIMA PROMPTUARII	Franciso Ignatio Servero	1709	d@ ) Und diese	Subsumption	erfordert aber	Subsumtion
   282991	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	n denen in der	Contrattation	stehenden Kauffl	Contrattation
   283104	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	iglieri teutscher	Nation	seyen . 4.	Nation
   283237	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	 5. Von der	Approbation	und Bestaͤttigung	Approbation
   283461	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	 was Arth 	Nation	, Stand und	Nation
   283465	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	n , Stand und	Condition	sie immer seye	Kondition
   283740	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	d wie weit die	Executionen	sich erstrecke	Exekution
   283745	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	cken . DIe	Jurisdiction	diser Magistraten	Jurisdiktion
   283878	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	len von ihrer	Jurisdiction	herruͤhrenden	Jurisdiktion
   284073	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	er|es|sie auch die	Jurisdiction	auff die vermehrte	Jurisdiktion
   284101	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	rtzfuͤrstl.	Approbation	. DIe in der Ma	Approbation
   284157	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	r die voͤllige	Direction	der Cantzley h	Direktion
   284263	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	n und der	Contrattation	ein beeydigter	Contrattation
   284279	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	t und der	Contrattation	die Authoritaͤt	Contrattation
   284292	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	die Wahl oder	Ballottation	zu nehmen 	Ballottation
   284522	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	e  allerhand	Nationen	nicht nur voͤ	Nation
   284685	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	. 16. Wegen	Appellation	von den Urthlen	Appellation
   284755	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	rselbe solle die	Appellation	nicht mehr Pl	Appellation
   284767	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	Instantz ihre	Execution	erlangen . Vo	Exekution
   284783	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	d  ist die	Appellation	verbotten .	Appellation
   284904	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	men Rath umb die	Revision	anflehen wolte	Revision
   284942	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	atz gelassen die	Revision	in Zeit von	Revision
   284979	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	le besagter	Revision	verlurstiget	Revision
   285006	DIPLOMA Der Allergnädigsten PRIVILEGIEN, [...] Denen Botzner-Märckten ertheilet. [...]	Unknown	1719	spect , und	Jurisdiction	erhalten  so	Jurisdiktion
   285445	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECOMMENTARIUS, In Kayser Carl deß Fünfften/ und deß H. Röm. Reichs Peinliche HalsGerichtsOrdnung/ [...]	Johann Christoph Frölich von Frölichsburg	1720	 : Item 	Profession	machen  den	Profession
   286184	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECOMMENTARIUS, In Kayser Carl deß Fünfften/ und deß H. Röm. Reichs Peinliche HalsGerichtsOrdnung/ [...]	Johann Christoph Frölich von Frölichsburg	1720	Summarischer	Information	aus der bereits	Information
   286189	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECOMMENTARIUS, In Kayser Carl deß Fünfften/ und deß H. Röm. Reichs Peinliche HalsGerichtsOrdnung/ [...]	Johann Christoph Frölich von Frölichsburg	1720	s eingeholten	Inquisition	, seynd die Fra	Inquisition
   286651	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECOMMENTARIUS, In Kayser Carl deß Fünfften/ und deß H. Röm. Reichs Peinliche HalsGerichtsOrdnung/ [...]	Johann Christoph Frölich von Frölichsburg	1720	n  die aus der	Nomination	der Interessenten	Nomination
   287730	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECORPUS JURIS CAMERALIS, das ist/ des Kayserlichen Cammer-Gerichts Gesetz-Buch, [...]	Unknown	1724	Frieden  in	Religion	und andern Sac	Religion
   288503	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECORPUS JURIS CAMERALIS, das ist/ des Kayserlichen Cammer-Gerichts Gesetz-Buch, [...]	Unknown	1724	Schub  noch	Dilation	, zu Verlaͤngerung	Dilation
   288760	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECORPUS JURIS CAMERALIS, das ist/ des Kayserlichen Cammer-Gerichts Gesetz-Buch, [...]	Unknown	1724	rlich Schub und	Dilation	, zu Verlaͤngerung	Dilation
   289221	ATTRforeign xml:lang=lat rend=antiquaATTR_CLOSECORPUS JURIS CAMERALIS, das ist/ des Kayserlichen Cammer-Gerichts Gesetz-Buch, [...]	Unknown	1724	rlich Schub und	Dilation	, zu Verlaͤngerung	Dilation
   290277	Allerhand außerlesene rare und curiöse Theologische und Juristische Bedencken Von denen Heyrathen [...]	D. I. P. O. A. F.	1733	e  diejenige	Resolution	endlich nehmen	Resolution
   291362	Allerhand außerlesene rare und curiöse Theologische und Juristische Bedencken Von denen Heyrathen [...]	D. I. P. O. A. F.	1733	lebet ) eine	Restriction	und exception	Restriktion
   291961	Allerhand außerlesene rare und curiöse Theologische und Juristische Bedencken Von denen Heyrathen [...]	D. I. P. O. A. F.	1733	beruhet ihre	Obligation	auf einem andern	Obligation
   292106	Allerhand außerlesene rare und curiöse Theologische und Juristische Bedencken Von denen Heyrathen [...]	D. I. P. O. A. F.	1733	en  durch dero	Dispensation	aufgehoben werd	Dispensation
   292695	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	ngenen alle	Communication	, Unterredung	Kommunikation
   293074	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	der einer bessern	Condition	, so stehet	Kondition
   293121	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	ilung  oder der	Absolution	, und Befreyung	Absolution
   293138	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	len nur von der	Inquisition	, gegen einer	Inquisition
   293500	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	wo etwas von	Complexion	, Gesundheit	Komplexion
   293540	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	chen  seine	Relation	 Eyd- und War	Relation
   294047	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	ß selbe der	Complexion	, und Beschaffenhe	Komplexion
   294144	Der Römischen Kayser [...] Neue Peinliche Hals-Gerichts-Ordnung/ [...]	Unknown	1711	nderlicher starcker	Complexion	befundene Leut	Komplexion
   295204	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	beygeruckten	Condition	, ohne darwider	Kondition
   295486	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	 benoͤthigte	Provision	oder andere M	Provision
   295533	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	dem Trassaten	Commission	auftrage und	Kommission
   295558	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	ung einer	Com̄ission	wider seinen	Kommission
   295953	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	en Arten der	acceptation	nicht ausgeschloss	acceptation
   296189	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	ssen der Tag der	Præsentation	zu dem Ende ge	Präsentation
   296241	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	bung der	Provision	daran nicht	Provision
   296284	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	 versicherte	Provision	in tempore	Provision
   296405	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	beygesetzten	Condition	und reservo	Kondition
   296461	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	e  wie die	Condition	der Acceptation	Kondition
   296589	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	 auch solche	Protestation	bey erfolgter	Protestation
   296607	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	iner erstern	Protestation	dardurch  da	Protestation
   297027	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	lle  seine	Resolution	laͤngstens b	Resolution
   297075	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	sel mit der	Præsentation	des Brieffs zu	Präsentation
   297160	Oesterreichisches Wechsel-Recht/ Oder Wienerische Wechsel-Ordnung/ [...]	Johann Reinhard Wegelin	1729	on oder	solution	gleich nicht	Solution
   298506	Der Stadt Constantz Neu-Verfaßte Policey-Ordnung.	Unknown	1738	axis , oder	Profession	gar nider gel	Profession
   298863	Der Stadt Constantz Neu-Verfaßte Policey-Ordnung.	Unknown	1738	y Straff der	Confiscation	absolutè abgest	Konfiskation
   299162	Der Stadt Constantz Neu-Verfaßte Policey-Ordnung.	Unknown	1738	lbe dabey aller	Moderation	und Ehrbarkeit	Moderation
   299614	Der Stadt Constantz Neu-Verfaßte Policey-Ordnung.	Unknown	1738	ldtem Stand und	Condition	begriffenen	Kondition
   300200	ATTRtitle xml:lang=lat rend=antiquaATTR_CLOSENovum Corpus Constitutionum Prussico-Brandenburgensium Praecipue Marchicarum	Unknown	1751	lis eine genaue	Visitation	von denen dazu	Visitation
   302515	Rostocksches Stadt-Recht	Unknown	1757	ch des Gerichts	Discretion	zu aͤstimiren	Diskretion
   302644	Rostocksches Stadt-Recht	Unknown	1757	ie angebliche	Diffamation	so gleich besc	Diffamation
   305217	Kurze Darstellung der Unrechtmaessigkeit einer Ausschliessung vom Landtage	D. Justus Friedrich Runde	1796	mit dem Adel in	Collision	kommendes Intere	Kollision
   305477	Kurze Darstellung der Unrechtmaessigkeit einer Ausschliessung vom Landtage	D. Justus Friedrich Runde	1796	d Kaiserlichen	Wahlkapitulation	Art. 22.	Wahlkapitulation
   305649	Kurze Darstellung der Unrechtmaessigkeit einer Ausschliessung vom Landtage	D. Justus Friedrich Runde	1796	d Kaiserlichen	Wahlkapitulation	, von Mißheyrathe	Wahlkapitulation
   305791	Kurze Darstellung der Unrechtmaessigkeit einer Ausschliessung vom Landtage	D. Justus Friedrich Runde	1796	ern zur	Succession	in Land und	Succession
   306944	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	rung oder	Appellation	vor desert o	Appellation
   306962	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	ntnis , oder die	Renunciation	in dem Fall we	Renunciation
   307049	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	den Termin zur	Production	oder Zeugen-Vorstel	Produktion
   307056	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	nheit zur	Recognition	der Documente	Reckkognition
   307087	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	etztern zur	Recognition	, sub Poena	Reckkognition
   307256	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	arin enthaltene	Condition	noch nicht pu	Kondition
   307347	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	io zu dessen	Praestation	anzuhalten .	Praestation
   307362	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	eichen von	Production	der Zeugen . §	Produktion
   307430	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	be mit der	Eydes-Delation	nicht wiederhohlet	Eydes-Delation
   307512	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	foͤrmlichen	Production	der Zeugen , wi	Produktion
   307553	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	 der fernern	Citation	derer , welche	Zitation
   308525	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	alten , oder die	Edition	derer Documenten	Edition
   308650	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	ber eine zweyte	Dilation	gesuchet wuͤrde	Dilation
   308732	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	en . Die dritte	Dilation	hingegen ist	Dilation
   308753	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	h die andere	Dilation	ohne den vorgesch	Dilation
   308840	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	schriftliche	Commission	gegeben worden	Kommission
   309010	Herzoglich-Sachsen-Gothaische vermehrte und verbesserte Gerichts- und Proceß-Ordnung, [...]	Unknown	1767	nzeigen , und um	Dilation	zu bitten ,	Dilation
   312160	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	Nießbrauch und die	Administration	des Vermoͤgens	Administration
   312959	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	. Die endliche	Specification	dienet aber	Spezifikation
   313537	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	rd@ tolerirten	Religionen	gewendet , 10	Religion
   313837	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	 von der	Verlassenschaftsspecification	. So bald der	Verlassenschaftsspecification
   314005	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	ium oder	Verlassenschaftsspecification	wird nach ei	Verlassenschaftsspecification
   314032	Der Stadt Hayn in Meißen Willkühr oder Erbstatuten Für Personen, welche keine Rechtsgelehrten, mit Erläuterungen und andern Anmerkungen	Carl Gottfried Theodor Chladenius	1784	rung oder	Taxation	dererjenigen	Taxation
