Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	weiblich	Kompositum	Period	Animacy3	Animacy	Freq
füeß	konkret Körperteil	fusz	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	14
fütterung	abstrakt	fütterung	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	1
gaden	konkret	gaden	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	1
Galgen	konkret	galgen	NN	Alme	1630	TRUE	0		0	3	concrete	1	1
ganß	tierisch	gans	NN	Perleberg	1588	FALSE	1		0	1	animate	2	1
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
garben	konkret	garbe	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	6
Gartten	konkret	garten	NN	Bamberg	1628	TRUE	1		0	3	concrete	1	7
Gartten	konkret	garten	NN	Bamberg	1628	TRUE	1		0	3	concrete	1	7
garten	konkret	garten	NN	Gaugrehweiler	1610	FALSE	0		0	2	concrete	1	7
Gartten	konkret	garten	NN	Ostrau	1628	TRUE	1		0	3	concrete	1	7
Garten	konkret	garten	NN	Ostrau	1628	TRUE	1		0	3	concrete	1	7
Garten	konkret	garten	NN	Riedlingen	1596	TRUE	0		0	1	concrete	1	7
Garten	konkret	garten	NN	Rosenburg	1618	TRUE	1		0	2	concrete	1	7
Gartten graß	konkret Kollektivum	gartengras	NN	Ostrau	1628	TRUE	1		1	3	concrete	1	1
Gartten- häußlein	konkret	gartenhäuslein	NN	Rosenburg	1618	TRUE	1		1	2	concrete	1	1
Garttenthuer	konkret	gartenthür	NN	Ostrau	1628	TRUE	1		1	3	concrete	1	2
Garten Thuer	konkret	gartenthür	NN	Ostrau	1628	TRUE	1		1	3	concrete	1	2
Gärtner	menschlich	gärtner	NB	Bamberg	1628	TRUE	1	n	0	3	animate	4	1
gasßen	konkret	gasse	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	4
gassen	konkret	gasse	NN	Gaugrehweiler	1610	FALSE	0		0	2	concrete	1	4
Gassen	konkret	gasse	NN	München	1600	TRUE	1		0	1	concrete	1	4
gaßen	konkret	gasse	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	4
Gaste	menschlich	gast	NN	Ostrau	1628	TRUE	1	n	0	3	animate	4	2
Gaste	menschlich	gast	NN	Ostrau	1628	TRUE	1	n	0	3	animate	4	2
gast hause	konkret	gasthaus	NN	Perleberg	1588	FALSE	1		1	1	concrete	1	3
gasthause	konkret	gasthaus	NN	Perleberg	1588	FALSE	1		1	1	concrete	1	3
gasthause	konkret	gasthaus	NN	Perleberg	1588	FALSE	1		1	1	concrete	1	3
gebiete	konkret	gebiet	NN	Jever	1592	FALSE	0		0	1	concrete	1	2
gebiete	konkret	gebiet	NN	Jever	1592	FALSE	0		0	1	concrete	1	2
geburt zeit	abstrakt	geburtszeit	NN	Ostrau	1628	FALSE	1		1	3	abstract	0	1
gedankhen	abstrakt	gedanke	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	2
gedancken	abstrakt	gedanke	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	2
gedachts	abstrakt	gedenken	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
gefahr	abstrakt	gefahr	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	1
Gefangene	menschlich	gefangen	NN	Ostrau	1628	TRUE	1		0	3	animate	2	3
Gefangenen	menschlich	gefangen	NN	Ostrau	1628	TRUE	1		0	3	animate	2	3
gefengnis	konkret	gefängnis	NN	Gaugrehweiler	1610	FALSE	0		0	2	concrete	1	3
gefencknus	konkret	gefängnis	NN	München	1600	FALSE	1		0	1	concrete	1	3
gefänckhnuß	konkret	gefängnis	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	3
gegenwertt	abstrakt	gegenwart	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	4
gegenwertt	abstrakt	gegenwart	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	4
gegenwertt	abstrakt	gegenwart	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	4
gegen- wart	abstrakt	gegenwart	NN	Ostrau	1628	FALSE	1		0	3	abstract	0	4
geheisch	abstrakt	geheisz	NN	Hamm	1592	FALSE	0		0	1	abstract	0	3
geheisch	abstrakt	geheisz	NN	Hamm	1592	FALSE	0		0	1	abstract	0	3
geheiß	abstrakt	geheisz	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	3
gehöffte	konkret	gehöfte	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	1
gaist	übermenschlich Teufel	geist	NN	Baden-Baden	1628	FALSE	0		0	3	animate	2	35
gaist	übermenschlich Teufel	geist	NN	Baden-Baden	1628	FALSE	0		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
Geists	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Bamberg	1628	TRUE	1		0	3	animate	2	35
geistes	übermenschlich positiv	geist	NN	Gaugrehweiler	1610	FALSE	0		0	2	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
geist	menschlich	geist	NN	Georgenthal	1597	FALSE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
geist	menschlich	geist	NN	Georgenthal	1597	FALSE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
Geist	menschlich	geist	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	35
gaist	übermenschlich Teufel	geist	NN	Günzburg	1613	FALSE	0		0	2	animate	2	35
geistes	übermenschlich positiv	geist	NN	Güstrow	1615	FALSE	1		0	2	animate	2	35
Geist	übermenschlich Teufel	geist	NN	München	1600	TRUE	1		0	1	animate	2	35
geist	menschlich	geist	NN	Perleberg	1588	FALSE	1		0	1	animate	2	35
geiste	übermenschlich positiv	geist	NN	Perleberg	1588	FALSE	1		0	1	animate	2	35
geists	übermenschlich positiv	geist	NN	Perleberg	1588	FALSE	1		0	1	animate	2	35
geist	übermenschlich Teufel	geist	NN	Stralsund	1630	FALSE	1		0	3	animate	2	35
Geistes	übermenschlich positiv	geist	NN	Stralsund	1630	TRUE	1		0	3	animate	2	35
Geist	übermenschlich Teufel	geist	NN	Stralsund	1630	TRUE	1		0	3	animate	2	35
geistin	menschlich	geistin	NN	Perleberg	1588	FALSE	1	j	0	1	animate	3	1
Gaißbokh	tierisch	geiszbock	NN	Bamberg	1628	TRUE	1		0	3	animate	2	1
gelächters	abstrakt	gelächter	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	1
gellt	konkret	geld	NN	Bamberg	1628	FALSE	1		0	3	concrete	1	10
gelt	konkret	geld	NN	Gaugrehweiler	1610	FALSE	0		0	2	concrete	1	10
gelts	konkret	geld	NN	Hamm	1592	FALSE	0		0	1	concrete	1	10
gelts	konkret	geld	NN	Hamm	1592	FALSE	0		0	1	concrete	1	10
geldtt	konkret	geld	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	10
gellt	konkret	geld	NN	München	1600	FALSE	1		0	1	concrete	1	10
gelt	konkret	geld	NN	München	1600	FALSE	1		0	1	concrete	1	10
geldt	konkret	geld	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	10
geldt	konkret	geld	NN	Schweinfurt	1616	FALSE	1		0	2	concrete	1	10
geldt	konkret	geld	NN	Schweinfurt	1616	FALSE	1		0	2	concrete	1	10
Gelt Tischen	konkret	geldtisch	NN	München	1600	TRUE	1		1	1	concrete	1	1
glait	abstrakt	geleit	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
gelt	konkret	gelt	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	1
gemain	abstrakt	gemein	NN	München	1600	FALSE	1		0	1	abstract	0	1
Gemein	menschlich Kollektivum	gemeinde	NN	Georgenthal	1597	TRUE	1		0	1	animate	2	1
gemeinschafft	abstrakt	gemeinschaft	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	3
gemeinschafft	abstrakt	gemeinschaft	NN	Georgenthal	1597	FALSE	1		0	1	abstract	0	3
gemeinschop	abstrakt	gemeinschaft	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	3
gemute	abstrakt	gemüt	NN	Jever	1592	FALSE	0		0	1	abstract	0	2
ge- muite	abstrakt	gemüt	NN	Jever	1592	FALSE	0		0	1	abstract	0	2
genick	konkret Körperteil	genick	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	1
gepflog- neß	abstrakt	gepflogenheit	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
gerechtigkait	abstrakt	gerechtigkeit	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
Gericht	konkret	gericht	NN	Georgenthal	1597	TRUE	1		0	1	concrete	1	6
Gericht	menschlich	gericht	NN	Hamm	1592	TRUE	0		0	1	animate	2	6
Gericht	menschlich	gericht	NN	Hamm	1592	TRUE	0		0	1	animate	2	6
Gerichte	abstrakt	gericht	NN	Jever	1592	TRUE	0		0	1	abstract	0	6
Ge- richtes	menschlich Kollektivum	gericht	NN	Meldorf	1618	TRUE	0		0	2	animate	2	6
gerichte	menschlich Kollektivum	gericht	NN	Perleberg	1588	FALSE	1		0	1	animate	2	6
Gerichts knechts	abstrakt	gerichtsknecht	NN	Georgenthal	1597	TRUE	1		1	1	abstract	0	2
Gerichtsknecht	menschlich	gerichtsknecht	NB	Georgenthal	1597	TRUE	1	n	1	1	animate	4	2
gerichtspersonen	menschlich	gerichtsperson	NB	Gaugrehweiler	1610	FALSE	0		1	2	animate	2	3
Gerichts Personen	menschlich	gerichtsperson	NN	Ostrau	1628	TRUE	1		1	3	animate	2	3
Gerichts Personen	menschlich	gerichtsperson	NN	Ostrau	1628	TRUE	1		1	3	animate	2	3
gerichtscheffen	menschlich	gerichtsschöffe	NB	Gaugrehweiler	1610	FALSE	0	n	1	2	animate	4	2
Gerichts Schöpffenn	menschlich	gerichtsschöffe	NB	Georgenthal	1597	TRUE	1	n	1	1	animate	4	2
Gerichts	abstrakt	gerichtsschreiber	NN	Georgenthal	1597	TRUE	1		1	1	abstract	0	1
geringsten	abstrakt	gering	NN	Jever	1592	FALSE	0		0	1	abstract	0	4
geringsten	abstrakt	gering	NN	Jever	1592	FALSE	0		0	1	abstract	0	4
geringsten	abstrakt	gering	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	4
geruch	abstrakt	geruch	NN	Jever	1592	FALSE	0		0	1	abstract	0	1
geruchte	abstrakt	gerücht	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	1
geschrey	abstrakt	geschrei	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	1
gesöllen	menschlich	geselle	NN	München	1600	FALSE	1	n	0	1	animate	4	3
gesell	menschlich	geselle	NN	München	1600	FALSE	1	n	0	1	animate	4	3
gesellen	menschlich	geselle	NB	München	1600	FALSE	1	n	0	1	animate	4	3
geselschafft	abstrakt	gesellschaft	NN	Hamm	1592	FALSE	0		0	1	abstract	0	4
gesellschaft	menschlich Kollektivum	gesellschaft	NN	Lemberg	1630	FALSE	0		0	3	animate	2	4
gesellschafft	menschlich Kollektivum	gesellschaft	NN	Lemberg	1630	FALSE	0		0	3	animate	2	4
gesellschafft	menschlich Kollektivum	gesellschaft	NN	Lemberg	1630	FALSE	0		0	3	animate	2	4
gesicht	konkret Körperteil	gesicht	NN	Bamberg	1628	FALSE	1		0	3	concrete	1	4
gesichte	konkret Körperteil	gesicht	NN	Güstrow	1615	FALSE	1		0	2	concrete	1	4
gesichte	konkret Körperteil	gesicht	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	4
gesichte	konkret Körperteil	gesicht	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	4
gespielen	menschlich	gespiele	NN	Günzburg	1613	FALSE	0	n	0	2	animate	4	2
gespilen	menschlich	gespiele	NN	Riedlingen	1596	FALSE	0	n	0	1	animate	4	2
gespött	abstrakt	gespött	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	3
gespött	abstrakt	gespött	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	3
gespött	abstrakt	gespött	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	3
gespräch	abstrakt	gespräch	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	1
gestallt	abstrakt	gestallt	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	1
gestalt	abstrakt	gestalt	NN	Baden-Baden	1628	FALSE	0		0	3	abstract	0	12
gestalt	abstrakt	gestalt	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	12
gestallt	abstrakt	gestalt	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	12
gestallt	abstrakt	gestalt	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	12
gestallt	abstrakt	gestalt	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	12
gestallt	abstrakt	gestalt	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	12
gestalt	abstrakt	gestalt	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	12
gestalt	abstrakt	gestalt	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	12
gestalt	abstrakt	gestalt	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	12
gestaldt	abstrakt	gestalt	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	12
gestaldt	konkret	gestalt	NN	Schweinfurt	1616	FALSE	1		0	2	concrete	1	12
gesundtheit	abstrakt	gesundheit	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	3
gesundtheit	abstrakt	gesundheit	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	3
gesundtheit	abstrakt	gesundheit	NN	Perleberg	1588	FALSE	1		0	1	abstract	0	3
getraidtt	konkret	getreide	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	3
getreidt	konkret	getreide	NN	Schweinfurt	1616	FALSE	1		0	2	concrete	1	3
getreidt	konkret	getreide	NN	Schweinfurt	1616	FALSE	1		0	2	concrete	1	3
geuatter	menschlich	gevatter	NN	Hamm	1592	FALSE	0	n	0	1	animate	4	2
Geuatters	menschlich	gevatter	NN	Hamm	1592	TRUE	0	n	0	1	animate	4	2
gewalt	abstrakt	gewalt	NN	Günzburg	1613	FALSE	0		0	2	abstract	0	4
gewalt	abstrakt	gewalt	NN	Hamm	1592	FALSE	0		0	1	abstract	0	4
gewaldt	abstrakt	gewalt	NN	Meldorf	1618	FALSE	0		0	2	abstract	0	4
gewalt	abstrakt	gewalt	NN	Ostrau	1628	FALSE	1		0	3	abstract	0	4
gewerb	abstrakt	gewerbe	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
gewicht	abstrakt	gewicht	NN	Hamm	1592	FALSE	0		0	1	abstract	0	1
gewissen	abstrakt	gewissen	NN	München	1600	FALSE	1		0	1	abstract	0	2
gewissen	abstrakt	gewissen	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	2
giebell	konkret	giebel	NN	Rosenburg	1618	FALSE	1		0	2	concrete	1	1
gifft	konkret	gift	NN	Jever	1592	FALSE	0		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
gifft	konkret	gift	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	9
giftt	konkret	gift	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	9
gleßlein	konkret	gläslein	NN	Perleberg	1588	FALSE	1		0	1	concrete	1	1
glauben	abstrakt	glauben	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
gleichen	abstrakt	gleich	NN	Jever	1592	FALSE	0		0	1	abstract	0	1
gliedt	konkret Körperteil	glied	NN	Günzburg	1613	FALSE	0		0	2	concrete	1	1
gliedtmaßen	konkret Körperteil	gliedmasze	NN	Stralsund	1630	FALSE	1		0	3	concrete	1	1
genaden	abstrakt	gnade	NN	München	1600	FALSE	1		0	1	abstract	0	2
gnad	abstrakt	gnade	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	2
goldt	konkret	gold	NN	Baden-Baden	1628	FALSE	0		0	3	concrete	1	5
golts	konkret	gold	NN	Hamm	1592	FALSE	0		0	1	concrete	1	5
golt	übermenschlich positiv	gold	NN	Hamm	1592	FALSE	0		0	1	animate	2	5
golt	konkret	gold	NN	Hamm	1592	FALSE	0		0	1	concrete	1	5
goldes	konkret	gold	NN	Jever	1592	FALSE	0		0	1	concrete	1	5
goldgulden	konkret	goldgulden	NN	Alme	1630	FALSE	0		1	3	concrete	1	1
Gott	übermenschlich positiv	gott	NN	Alme	1630	TRUE	0	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Alme	1630	TRUE	0	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Baden-Baden	1628	TRUE	0	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Bamberg	1628	TRUE	1	n	0	3	animate	4	41
gott	übermenschlich positiv	gott	NN	Gaugrehweiler	1610	FALSE	0	n	0	2	animate	4	41
Gott	übermenschlich positiv	gott	NN	Georgenthal	1597	TRUE	1	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Georgenthal	1597	TRUE	1	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Georgenthal	1597	TRUE	1	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Georgenthal	1597	TRUE	1	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Günzburg	1613	TRUE	0	n	0	2	animate	4	41
Gott	übermenschlich positiv	gott	NN	Günzburg	1613	TRUE	0	n	0	2	animate	4	41
Gott	übermenschlich positiv	gott	NN	Günzburg	1613	TRUE	0	n	0	2	animate	4	41
got	übermenschlich positiv	gott	NN	Hamm	1592	FALSE	0	n	0	1	animate	4	41
got	übermenschlich positiv	gott	NN	Hamm	1592	FALSE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Hamm	1592	TRUE	0	n	0	1	animate	4	41
gott	übermenschlich positiv	gott	NN	Hamm	1592	FALSE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Hamm	1592	TRUE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Jever	1592	TRUE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Lemberg	1630	TRUE	0	n	0	3	animate	4	41
Godt	übermenschlich positiv	gott	NN	Meldorf	1618	TRUE	0	n	0	2	animate	4	41
Godt	übermenschlich positiv	gott	NN	Meldorf	1618	TRUE	0	n	0	2	animate	4	41
Gottes	übermenschlich positiv	gott	NN	München	1600	TRUE	1	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	München	1600	TRUE	1	n	0	1	animate	4	41
Gotteß	übermenschlich positiv	gott	NN	Riedlingen	1596	TRUE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Riedlingen	1596	TRUE	0	n	0	1	animate	4	41
Gotteß	übermenschlich positiv	gott	NN	Riedlingen	1596	TRUE	0	n	0	1	animate	4	41
Gott	übermenschlich positiv	gott	NN	Riedlingen	1596	TRUE	0	n	0	1	animate	4	41
Gottes	übermenschlich positiv	gott	NN	Schweinfurt	1616	TRUE	1	n	0	2	animate	4	41
Gottes	übermenschlich positiv	gott	NN	Schweinfurt	1616	TRUE	1	n	0	2	animate	4	41
Gotte	übermenschlich positiv	gott	NN	Stralsund	1630	TRUE	1	n	0	3	animate	4	41
Gott	übermenschlich positiv	gott	NN	Stralsund	1630	TRUE	1	n	0	3	animate	4	41
Gottes gebott	abstrakt	gottesgebot	NN	Schweinfurt	1616	TRUE	1		1	2	abstract	0	1
gottes verlaugnungh	abstrakt	gottesverleugnung	NN	Hamm	1592	FALSE	0		1	1	abstract	0	1
Gottes wordt	abstrakt	gotteswort	NN	Meldorf	1618	TRUE	0		1	2	abstract	0	1
gott vater	übermenschlich positiv	gottvater	NN	Perleberg	1588	FALSE	1	n	1	1	animate	4	1
grab	konkret	grab	NN	Bamberg	1628	FALSE	1		0	3	concrete	1	2
grab	konkret	grab	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	2
Graue	menschlich	graf	NB	Alme	1630	TRUE	0	n	0	3	animate	4	2
Grauen	menschlich	graf	NB	Alme	1630	TRUE	0	n	0	3	animate	4	2
graß	konkret	gras	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	1
griff	abstrakt	griff	NN	Riedlingen	1596	FALSE	0		0	1	abstract	0	1
grindt	konkret	grind	NN	Alme	1630	FALSE	0		0	3	concrete	1	1
grund	konkret	grund	NN	Riedlingen	1596	FALSE	0		0	1	concrete	1	1
Gronendonnerdage	abstrakt	gründonnerstag	NN	Jever	1592	TRUE	0		1	1	abstract	0	1
gülden	konkret	gülden	NN	Lemberg	1630	FALSE	0		0	3	concrete	1	1
gurtel	konkret	gürtel	NN	Alme	1630	FALSE	0		0	3	concrete	1	2
gurtel	konkret	gürtel	NN	Alme	1630	FALSE	0		0	3	concrete	1	2
gueß	abstrakt	gusz	NN	Stralsund	1630	FALSE	1		0	3	abstract	0	1
guete	abstrakt	gut	NN	Güstrow	1615	FALSE	1		0	2	abstract	0	8
gutter	konkret	gut	NN	Hamm	1592	FALSE	0		0	1	concrete	1	8
guth	abstrakt	gut	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	8
guth	abstrakt	gut	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	8
guet	abstrakt	gut	NN	Schweinfurt	1616	FALSE	1		0	2	abstract	0	8
güete	abstrakt	güte	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	8
güete	abstrakt	güte	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	8
güete	abstrakt	güte	NN	Bamberg	1628	FALSE	1		0	3	abstract	0	8
gute	abstrakt	güte	NN	Jever	1592	FALSE	0		0	1	abstract	0	8
gütte	abstrakt	güte	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	8
gütte	abstrakt	güte	NN	Lemberg	1630	FALSE	0		0	3	abstract	0	8
güete	abstrakt	güte	NN	München	1600	FALSE	1		0	1	abstract	0	8
gute	abstrakt	güte	NN	Rosenburg	1618	FALSE	1		0	2	abstract	0	8
Instrumenten	konkret	instrument	NN	Hamm	1592	TRUE	0		0	1	concrete	1	1
Jahren	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahrs	abstrakt	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Alme	1630	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Baden-Baden	1628	TRUE	0		0	3	abstract	0	79
Jahr	abstrakt Maß	jahr	NN	Bamberg	1628	TRUE	1		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Bamberg	1628	TRUE	1		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Bamberg	1628	TRUE	1		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Bamberg	1628	TRUE	1		0	3	abstract	0	79
Jahren	abstrakt Maß	jahr	NN	Bamberg	1628	TRUE	1		0	3	abstract	0	79
Ja ren	abstrakt Maß	jahr	NN	Gaugrehweiler	1610	TRUE	0		0	2	abstract	0	79
Jharen	abstrakt Maß	jahr	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	79
Jharenn	abstrakt Maß	jahr	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	79
Jharenn	abstrakt	jahr	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	79
Jharen	abstrakt Maß	jahr	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	79
Jhar	abstrakt Maß	jahr	NN	Georgenthal	1597	TRUE	1		0	1	abstract	0	79
